(奉俊昊, 执导, 寄生虫)
(火烧旧金山, 讲述, 以1906年旧金山大地震为背景的故事)
(杨千嬅, 演唱, 万世流芳电影花好月圆的插曲)
(米高梅, 出品, 叛舰喋血记)
(弗兰克·洛伊德, 执导, 叛舰喋血记)
(叛舰喋血记, 讲述在, 邦蒂号军舰上)
(寂寞芳心, 讲述, 贫寒的爱丽斯的|与富有的阿尔特爱情故事)
(喋血船长, 讲述, 一名医生)
(大卫·科伯菲尔德, 饰演, 主人翁大卫·克波菲尔)
(大卫·科伯菲尔德, 具有, 二十世纪三十年代古典电影的严谨制作|和坚强明星阵容)
(大卫·科伯菲尔德, 呈现, 十九世纪英国社会风俗的真实面貌)
(默片时代巨星W|C及巴摩尔明星家族的里昂等, 参加, 大卫·科伯菲尔德的演出)
(刘进, 执导, 告密者中国国际总公司出品的反特悬疑剧)
(柳云龙|张嘉译, 领衔, 告密者中国国际总公司出品的反特悬疑剧)
(拉吉·利执导剧情片, 主演, 悲惨世界)
(达米安·勃纳尔等|亚历克西斯·曼蒂, 主演, 悲惨世界)
(仲夏夜之梦, 改编自, 莎士比亚的同名喜剧)
(仲夏夜之梦, 讲诉在, 仲夏夜晚)
(淘气的玛丽达, 讲述, 玛丽·纳摩尔一个美丽|年轻老练的法国公主)
(她, 认为, 比起做一个主流人物|重要)
(她, 认为, 比起做一个主流人物|重要)
(她, 开始, 新的生活)
(她, 找到, 自己的丈夫)
(公主玛丽, 逃, 她讨厌的婚姻)
(一支搜查队, 寻找, 她)
(美国, 导演, 弗兰克·卡普拉所)
(一夜风流, 讲述, 一个逃出家门的富家女|和一个报纸记者之间的爱情故事)
(红楼春怨, 执导, 传记片)
(红楼春怨, 讲述, 英国著名诗人勃朗宁夫人与其丈夫相遇的|相恋故事)
(英国, 著名诗人, 勃朗宁)
(乔洛·比萨尼, 执导, 埃及艳后2007年上映的剧情类巴西电影)
(JosiAntelloMiguelFalabella|TaumaturgoFerreira, 主演, 埃及艳后2007年上映的剧情类巴西电影)
(柳暗花明, 讲述, 富家子胡安|与妻子家人在墨西哥农村的生活|用回忆幻想间隔的支离破碎的情节片断|1)
(欧洲, 银行, 家·罗思柴尔德)
(燕珍青年Karloff, 欧洲银行, 家·罗思柴尔德)
(一夜爱情创作的网络小说, 发表于, 起点网)
(自由万岁, 分, 韩国版|和美国版两个版本)
(韩国, 著名导演, 崔寅奎)
(独立运动, 人士, 崔汉钟)
(美国福克斯电影公司, 出品, 乱世春秋)
(弗兰克·洛伊德, 执导, 乱世春秋)
(乱世春秋, 改编自, 诺埃尔·康沃德的同名舞台剧)
(第四十二街, 讲述, 一个成功的百老汇戏剧导演)
(第四十二街, 得到, 一大笔投资)
(一日贵妇, 讲述, 贫困的AppleAnni常常给在Spanish的女儿写信)
(一日贵妇, 声称, 自己上流社会的成员)
(格蕾塔·葛韦格, 执导, 小妇人)
(西尔莎·罗南|艾玛·沃特森佛罗伦斯·珀伊莱扎·斯坎伦劳拉·邓恩提莫西·查拉梅联袂主演的剧情片, 上映, 小妇人)
(小妇人, 获得, 最佳服装设计奖)
(亚历山大·柯尔达, 执导, 英宫艳史)
(查尔斯·劳顿|罗伯特·多纳特合作的|主演传记片|英宫艳史, 上映, 英宫艳史)
(英宫艳史, 讲述, 英王亨利八世的几段婚姻的故事)
(李惠民, 执导, 侬本多情)
(敌蹄肆虐困顿的生活中, 抛弃, 她)
(丈夫, 抛弃, 她)
(种种大计挫折, 让, 突然发现原来女人要想有尊严生活地|出卖自己的灵魂|最后在真爱召唤下她得到了重生|2)
(她, 得到, 重生|2)
(她, 得到, 重生|2)
(上海人称, 为, 赛珍会)
(胡里奥·奥尔梅多, 来到, 位于镇郊的大饭店)
(所有者阿拉尔孔家族, 女儿, 艾丽西亚)
(大饭店高墙之中的秘密|和谎言, 浮, 水面)
(阿罗史密斯, 导演, 约翰·福特)
(罗纳德·考尔曼等人, 主演, 阿罗史密斯导演约翰·福特1931年执导的电影)
(一名, 前拳击冠军, 安迪·波瑟尔)
(她自己赛马场的老板, 产生, 相互的信任)
(她自己赛马场的老板, 产生, 相互的信任)
(她, 放弃, 抚养的权利)
(几个, 月, 安迪)
(最后的五颗星, 讲述, 一份低俗小报的编辑违背了自己新闻工作者的职业道德|酿成了悲剧性的结果的故事)
( 上海快车, 讲述, 故事发生在一列行驶在中国大地的火车上|背景中国内战时期)
( 上海快车, 获得, 1932年第5届奥斯卡金像奖最佳影片等|提名奖项)
(金门影业公司, 出品, 香港电影驸马艳史)
(1958年, 出品, 香港电影驸马艳史)
(张瑛等|梅绮梁醒波冯峰陈好逑叶萍, 领衔, 驸马艳史)
(美国雷电华影片公司, 出品, 壮志千秋)
(卫斯理·拉格斯, 执导, 壮志千秋)
(壮志千秋, 讲述在, 19世纪美国)
(1925年的默片电影空谷兰, 取材于, 日本小说野之花)
(犯罪的都市, 讲述, 报社记者希尔迪·约翰逊无意中发现了逃犯威廉姆斯|并把他藏在记者室|以期望得到一个大独家新闻的故事)
(淘哥儿, 讲述, 一个叫淘哥儿的男孩如何帮助他的朋友sooky的)
(一个叫淘哥儿的男孩, 帮助, 他的朋友sooky)
(淘哥儿的父亲当地的卫生监督员, 拆除, 儿子的穷朋友养狗的棚户)
( 大探险, 讲述, 两个白人商人试图拯救传教士的女儿的故事)
(西线无战事, 改编, 自德国作家雷马克的同名小说)
(西线无战事, 获得, 第3届奥斯卡金像奖最佳影片最佳导演两个奖项|1)
(牢狱鸳, 讲述, 三名同一监牢里的囚犯逃狱的故事)
( 英宫外史, 讲述, 一位高超的英国首相为英国保住苏伊士运河管理权的故事)
(弃妇怨, 讲述, 杰瑞|与泰德之间的爱恨纠葛)
(恩斯特·刘别谦, 执导, 璇宫艳史)
(璇宫艳史, 讲述, 希尔维尼亚女王露易斯被法国的雷纳德伯爵的幽默|和情深意切打动给他|而下嫁深爱自已的丈夫的|她处处迁就他最后立为王的故事)
(希尔维尼亚, 女王, 露易斯)
(法国的雷纳德伯爵的, 打动, 希尔维尼亚女王露易斯给他)
(她, 迁就, 他)
(百老汇旋律, 讲述, 一对姐妹花来到纽约|求发展加入百老汇歌舞团|并爱上了同一个人最后姐姐退出|成全妹妹的浪漫爱情故事|2)
(龚朝晖, 执导, 爱国者)
(威廉·A韦尔曼, 执导, 翼)
(克拉拉·鲍等|查尔斯·巴德·罗杰斯理查德·阿伦主演的战争爱情片, 上映, 翼)
(翼, 讲述, 邻家女孩玛丽|和她暗恋的飞行员杰克两人历经种种波折终于收获爱情的故事|2)
(翼, 讲述在, 世界大战期间)
(邻家女孩玛丽|和她暗恋的飞行员杰克两人, 历经, 种种波折)
(刘易斯·迈尔斯通导演, 主演, 非法图利1928年上映的美国电影)
(非法图利一部, 进行, 揭露的电影)
(非法图利大的可贵之处, 隐藏, 老头子这位黑白世界规则名副其实的缔造者)
(非法图利大的可贵之处, 隐藏, 老头子这位黑白世界规则名副其实的缔造者)
(弗兰克·鲍沙其, 执导, 第七天堂)
(第七天堂, 讲述, 齐卡·罗巴斯|和迪安妮之间的爱情故事)
